cb_name,yard,reported_closed,true_closed,partition_changed,effect,category,affected_planning_buses,topological_buses_true,measurements_changed,max_abs_dz_over_sigma_main_vm_min,dead_sections_any_scale,shed_load_mw_max,dropped_gen_any_scale,J_case14_main_vm_min,J_case14_main_vm_max,J_case14_busbar_vm_min,J_case14_anchor_vm_min,detect_noiseless_main_vm_all_scales,detect_noiseless_busbar_vm_all_scales,detect_noiseless_anchor_vm_all_scales,wls_failed_anchor_vm_any_scale,detection_rate_noisy_main_vm_min,detection_rate_noisy_anchor_vm_min,equivalent_branch_row0,J_branch_out_correction_main_vm_min,branch_status_correction_clean_all_scales,admissible_conservative,admissible_with_dead_bay_voltage
CB_4_N6_B2,4,True,False,True,split,dangling_line_terminal,[4],15,True,10.702,False,0,False,559.916,1533.18,559.916,559.916,True,True,True,False,1,1,5,3.22774,True,True,True
CB_5_L51_B1,5,True,False,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_5_L51_B2,5,True,False,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_5_T56_B1,5,True,False,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_5_T56_B2,5,True,False,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_5_L52_B1,5,True,False,True,split,dangling_line_terminal,[5],15,True,34.8365,False,0,False,4333.45,4622.94,4333.45,4333.45,True,True,True,False,1,1,4,22.1689,True,True,True
CB_5_L52_B2,5,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_5_L54_B1,5,True,False,True,split,dangling_line_terminal,[5],15,True,48.9164,False,0,False,7282.51,8479.62,7282.51,7282.51,True,True,True,False,1,1,6,1.04663e-07,True,True,True
CB_5_L54_B2,5,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_5_I_B1,5,True,False,True,split,unsupplied_island,[5],15,True,6.46,True,8.74,False,2.23769e-09,3.11828e-07,2.23769e-09,809590,False,False,True,False,0,1,,,,False,True
CB_5_I_B2,5,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_5_B1_B2,5,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_6_B1_B2,6,True,False,True,split,bus_split,[6],15,True,13.9106,False,0,False,278.279,1442.27,278.279,436.597,True,True,True,False,1,1,,,,True,True
CB_6_I_B1,6,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_6_I_B2,6,True,False,True,split,unsupplied_island,[6],15,True,11.1999,True,12.88,True,3.35463e-09,3.27287e-07,3.35463e-09,,False,False,False,True,0,0,,,,False,False
CB_6_L612_B1,6,True,False,True,split,dangling_line_terminal,[6],15,True,23.7877,False,0,False,443.671,821.302,443.671,443.671,True,True,True,False,1,1,11,2.5871e-09,True,True,True
CB_6_L612_B2,6,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_6_T65_B1,6,True,False,True,split,dangling_line_terminal,[6],15,True,76.0282,False,0,False,5786.57,7216.19,5786.57,5786.57,True,True,True,False,1,1,9,1.11315e-05,True,True,True
CB_6_T65_B2,6,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_6_L613_B1,6,True,False,True,split,dangling_line_terminal,[6],15,True,44.0619,False,0,False,2179.84,3941.83,2179.84,2179.84,True,True,True,False,1,1,12,1.12593e-07,True,True,True
CB_6_L613_B2,6,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_6_L611_B1,6,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_6_L611_B2,6,True,False,True,split,dangling_line_terminal,[6],15,True,20.4631,False,0,False,541.076,926.587,541.076,541.076,True,True,True,False,1,1,10,3.67797e-09,True,True,True
CB_9_B1_N1,9,True,False,True,split,dangling_line_terminal,[9],15,True,32.8767,False,0,False,1101.4,1864.06,2896.25,1101.4,True,True,True,False,1,1,16,8.70737e-09,True,True,True
CB_9_N1_N2,9,True,False,True,split,bus_split,[9],15,True,29.9108,False,0,False,2674.39,5325.04,2634.58,2674.39,True,True,True,False,1,1,,,,True,True
CB_9_N2_B2,9,True,False,True,split,bus_split,[9],15,True,12.0875,False,0,False,421.55,686.945,421.55,510.956,True,True,True,False,1,1,,,,True,True
CB_9_B1_N3,9,True,False,True,split,dangling_line_terminal,[9],15,True,32.8767,False,0,False,1101.4,1864.06,1101.4,1101.4,True,True,True,False,1,1,16,8.70737e-09,True,True,True
CB_9_N3_N4,9,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_9_N4_B2,9,True,False,True,split,dangling_line_terminal,[9],15,True,23.9016,False,0,False,3278.8,10874.8,3278.8,3278.8,True,True,True,False,1,1,14,7.87236e-08,True,True,True
CB_9_I_B1,9,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_9_I_B2,9,True,False,True,split,unsupplied_island,[9],15,True,25.075,True,33.925,False,222.172,226.157,222.172,780067,True,True,True,False,1,1,,,,True,True
CB_Y1014_14B_10N1,10_14,False,True,True,merge,merge_10_14,"[10, 14]",13,True,9.04394,False,0,False,70.521,143.226,70.521,70.521,False,False,False,False,0.6,0.3,,,,False,False
CB_Y1014_10N1_10N2,10_14,True,False,True,split,dangling_line_terminal,[10],15,True,5.39438,False,0,False,142.588,294.7,142.588,142.588,False,False,False,False,1,1,17,2.12428e-09,True,False,False
CB_Y1014_10N2_10B,10_14,True,False,True,split,unsupplied_island,[10],15,True,10.0616,True,10.35,False,2.04696e-09,1.57289e-07,,,False,False,False,True,0,0,,,,False,False
CB_Y1014_14B_14N1,10_14,True,False,True,split,unsupplied_island,[14],15,True,20.1193,True,17.135,False,3.16573e-09,8.68458e-08,,,False,False,False,True,0,0,,,,False,False
CB_Y1014_14N1_14N2,10_14,True,False,True,split,dangling_line_terminal,[14],15,True,32.8759,False,0,False,1101.43,1864.03,1101.43,1101.43,True,True,True,False,1,1,16,8.70541e-09,True,True,True
CB_Y1014_14N2_10B,10_14,False,True,True,merge,merge_10_14,"[10, 14]",13,True,9.04394,False,0,False,70.521,143.226,70.521,70.521,False,False,False,False,0.6,0.6,,,,False,False
CB_Y1014_14B_I14,10_14,True,False,True,split,unsupplied_island,[14],15,True,20.1193,True,17.135,False,3.16573e-09,8.68458e-08,3.16573e-09,,False,False,False,True,0,0,,,,False,False
CB_Y1014_I14_I10,10_14,False,True,True,merge,merge_10_14,"[10, 14]",13,True,9.04394,False,0,False,70.521,143.226,70.521,70.521,False,False,False,False,0.5,0.5,,,,False,False
CB_Y1014_I10_10B,10_14,True,False,True,split,unsupplied_island,[10],15,True,10.0616,True,10.35,False,2.04696e-09,1.57289e-07,2.04696e-09,,False,False,False,True,0,0,,,,False,False
CB_11_L116_B1,11,True,False,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_11_L116_B2,11,True,False,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_11_L1110_B1,11,True,False,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_11_L1110_B2,11,True,False,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_12_B1_L126,12,True,False,True,split,dangling_line_terminal,[12],15,True,23.7886,False,0,False,443.67,821.301,443.67,443.67,True,True,True,False,1,1,11,2.58727e-09,True,True,True
CB_12_B1_L1213,12,True,False,True,split,dangling_line_terminal,[12],15,True,3.18561,False,0,False,19.7809,39.338,19.7809,19.7809,False,False,False,False,0,0,18,2.01904e-09,True,False,False
CB_13R1_13R2,13,True,False,True,split,dangling_line_terminal,[13],15,True,13.5524,False,0,False,262.706,444.656,262.706,262.706,True,True,True,False,1,1,19,2.25816e-09,True,True,True
CB_13R2_13R3,13,False,True,False,equivalent,equivalent,[],14,False,0,False,0,False,2.02464e-09,5.87415e-07,2.02464e-09,2.02464e-09,False,False,False,False,0,0,,,,False,False
CB_13R3_13R4,13,True,False,True,split,dangling_line_terminal,[13],15,True,44.0631,False,0,False,2179.82,3941.84,2179.82,2179.82,True,True,True,False,1,1,12,1.1261e-07,True,True,True
CB_13R4_13R1,13,True,False,True,split,bus_split,[13],15,True,51.2151,False,0,False,2988.91,2988.91,8490.12,8490.12,True,True,True,False,1,1,,,,False,False
